"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"Q9FZ6ZSS","book","1859","Banchero, Giuseppe","Il Duomo di Genova illustrato e descritto","","","","","","","1859","2014-06-20 14:16:19","2020-04-28 15:53:52","","","384 p.","","","","","","","","","","T. Ferrando","Genova","Italian","","","","","","","","","G:\My Drive\Library\Monographs\Banchero - 1859 - Il Duomo di Genova illustrato e descritto.pdf","","1400s; Mediterranean; Sources; 1500s; Architectural History; 1100s; 1200s; 1300s; 1600s; 1700s; 1800s; Churches (History)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PDZNEPQV","journalArticle","1985","Ferretti, Franco","Considerazioni sulle antiche origini della sede episcopale di Savona-Vado","Sabazia","","","","","","1985","2014-06-20 14:26:12","2022-04-19 14:19:24","","21-28","","","1ª serie, 8","","Sa","","","","","","","","Italian","","","","","","","","","G:\My Drive\Library\Articles\Ferretti - 1985 - Considerazioni sulle antiche origini della sede episcopale di Savona-Vado.pdf","","Genoa; Mediterranean; 500s; 600s; 700s; 800s; Antiquity; Savona (Liguria); 400s","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27IW827A","book","1838","Semeria, Giovanni","Storia ecclesiastica di Genova e della Liguria dai tempi apostolici","","","","","","","1838","2017-06-02 03:48:49","2023-11-16 18:48:04","","","viii, 488 p.","","","","","","","","","","Canfari","Torino","Italian","","","","","","","OCLC: 859774391","","G:\My Drive\Library\Monographs\Semeria - 1838 - Storia ecclesiastica di Genova e della Liguria dai tempi apostolici.pdf","","Genoa; Mediterranean; Churches (History)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NR6FSPXF","book","1959","Gregory I","Dialogues","","978-0-8132-0039-2","","","","","1959","2017-05-30 19:18:16","2023-02-15 21:01:23","","","xvi, 287p.","","","","","","Fathers of the Church","39","","","Fathers of the Church","New York","English","","","","","University of Toronto","BR65 .G53 D513","","","G:\My Drive\Library\Sources\Gregory I - 1959 - Dialogues.pdf","","Mediterranean; Sources; History of Christianity; 500s; 600s; Papacy (History)","","","","Zimmerman, Odo John","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3NWA2R49","book","1907","Paul the Deacon","History of the Langobards","","","","","","History of the Lombards, by Paul the Deacon (c. 720-c. 799), is among the most important and oldest accounts of the Germanic nation. The book preserves many ancient myths and popular traditions and draws from sources that are now lost. The history traces the changing fortunes of the Lombards, the last of the migratory Germanic peoples to enter the western part of the old Roman Empire, from their first appearance in the West in the sixth century to the middle of the eighth century. The popularity of Paul the Deacon's book has endured over the centuries and, although there have been numerous translations and editions, this remains the only one in English.","1907","2017-05-30 18:38:54","2023-02-16 04:43:42","","","xlii, 438 p.","","","","","","","","","","University of Pennsylvania Press","Philadelphia","English","","","","","University of Toronto","DG511 .P38","Republished in a slightly abridged edition in 1974 as History of the Lombards. Translation of De gestis Langobardorum.","","G:\My Drive\Library\Sources\Paul the Deacon - 1907 - History of the Langobards.pdf","","Mediterranean; Sources; Lombard Kingdom","","","","Foulke, William Dudley","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QTAR46A5","book","1982","Gregory I","S. Gregorii Magni registrum epistularum","","2-503-00000-2","","","","","1982","2017-05-30 19:08:06","2023-02-15 21:01:40","","","1184 p.","","","","","","Corpus Christianorum. Series Latina","140","","","Brepols","Turnhout","Latin","","","","","University of Toronto","BR60 .C49","","","G:\My Drive\Library\Sources\Gregory I - 1982 - S. Gregorii Magni registrum epistularum. Tomus I.pdf","","Mediterranean; Sources; History of Christianity; 500s; 600s; Papacy (History)","","Norberg, Dag Ludvig","","","","","","","","","","","","","","","","","","","In two volumes","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U73EWF9P","book","1878","Paul the Deacon","Pauli Historia Langobardorum","","","","","","History of the Lombards, by Paul the Deacon (c. 720-c. 799), is among the most important and oldest accounts of the Germanic nation. The book preserves many ancient myths and popular traditions and draws from sources that are now lost. The history traces the changing fortunes of the Lombards, the last of the migratory Germanic peoples to enter the western part of the old Roman Empire, from their first appearance in the West in the sixth century to the middle of the eighth century. The popularity of Paul the Deacon's book has endured over the centuries and, although there have been numerous translations and editions, this remains the only one in English.","1878","2017-05-30 18:48:15","2023-02-16 04:43:42","","","268 p.","","","","","","Monumenta Germaniae historica. Scriptores rerum Germanicarum","48","","","Impensis bibliopolii Hahniani","Hanover","Latin","","","","","University of Toronto","DD3 .M8 S5","","","G:\My Drive\Library\Sources\Paul the Deacon - 1878 - Pauli Historia Langobardorum.pdf","","Mediterranean; Sources; Lombard Kingdom","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XKUC4PUV","book","2005","Gregory, Timothy E.","A History of Byzantium","","978-0-631-23512-5","","","","","2005","2017-05-30 18:33:03","2023-02-15 21:06:12","","","xiv, 381 p.","","","","","","Blackwell History of the Ancient World","19","","","Blackwell Publishers","Malden","English","","","","","University of Toronto","DF552 .G68","","","G:\My Drive\Library\Monographs\Gregory - 2005 - A History of Byzantium.pdf","","1400s; Mediterranean; Political History; 1100s; 1200s; 1300s; 1000s; 600s; 700s; 800s; 900s; Byzantine Empire","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"35WZKCQC","bookSection","2003","Angeli Bertinelli, Maria Gabriella","Genova, fra Liguri e Romani, nell’Antichità","Storia di Genova: Mediterraneo, Europa, Atlantico","","","","","","2003","2017-05-30 18:01:17","2023-08-24 16:24:09","","35-109","","","","","","","","","","","Società ligure di storia patria","Genova","Italian","","","","","University of Toronto","DG636 .S76 ROBARTS","","","","","Genoa; Mediterranean; 500s; 600s; 400s","","Puncuh, Dino","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CXQZXTJM","bookSection","1968","Carpaneto da Langasco, P. Cassiano","Siro, vescovo di Genova","Bibliotheca Sanctorum XI: Ragenfreda-Stefano","","","","","","1968","2017-05-30 17:44:17","2023-02-15 21:11:47","","1238-1239","","","","","","","","","","","Istituto Giovanni XXIII nella Pontificia Università lateranense","Roma","Italian","","","","","University of Toronto","BX4655.8 .B5","","","G:\My Drive\Library\Articles\Carpaneto da Langasco - 1968 - Siro, vescovo di Genova.pdf","","Genoa; Mediterranean; History of Christianity; 500s; 600s; Hagiography; 400s; Syrus of Genoa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
